id,price
7063,1188907.8916512306
79,1459163.6314944942
5417,1975082.2155055064
2889,1719566.8547885623
3517,1609358.0530273966
4923,1761339.1026459949
159,1222833.5037460064
6901,1523058.0618259741
5917,1218585.483848742
6947,1454859.7174238502
5322,2194452.345166662
3646,1253017.486793814
1261,2346520.7587884166
4251,1083043.63199208
5573,1519360.9930744546
5578,1048878.688940528
6437,2899403.124700678
1839,1461626.0889693238
2275,753075.7051924423
859,443470.30089635006
1885,733680.927974958
2644,3219635.1037389203
5661,3702774.1623723935
6876,8564194.766518027
4621,2143842.1388320327
6028,1803268.5938098629
2812,474284.99475899665
3968,4492448.062209481
298,1362892.2222550781
2038,1768990.9570524879
3972,3143794.0804744232
2763,792641.2199760847
4752,1970272.8299776735
6983,2745947.368906076
5707,1252674.892621625
4162,2019686.6629349957
6359,2449287.1387223434
6586,3823876.386311565
2355,1786700.5024405757
2518,950369.6407436458
5984,1869133.7585435882
2843,1793812.171624049
6319,2914531.0592521243
1276,847566.688930913
1095,5276705.1133492645
6195,2802891.88591061
4658,1282692.0918339316
2834,1661755.796243985
5174,2054943.8176446133
2164,852083.0997556992
4681,2028120.6112384673
3672,2991119.8028105423
2623,1318177.271771696
3666,1044846.7589146398
6523,1884672.689183766
1700,553733.9833714083
2686,1195649.972124087
7079,1383839.7904568547
3341,2743248.994988648
3959,1182037.3455327
5202,1983944.575502294
6468,1240048.5492503433
3995,2280334.698545505
3358,815652.2286024848
1275,1163952.6105219496
6497,1095033.6557928328
4384,1546195.2612829502
6918,2111876.1538639073
3090,952298.334066934
2314,2397851.401470686
6658,1489232.7646216087
6666,1294741.1624513804
6552,1407009.3034982714
1235,1152866.003845875
988,1462010.404750314
1627,1398472.3691240672
1271,3702972.046069661
1974,2805161.510300902
5596,1267071.7837871152
160,564649.2379228106
3507,378956.96630345273
1964,919889.229760682
4414,1515268.3801176471
5912,1142814.2698640376
5887,1647385.956600664
3607,785332.0542480256
6094,1382712.2228866655
4818,1163353.147032444
599,930080.3335559715
3307,1859947.5854577646
3441,960243.1233805821
2318,3034928.1944721052
6269,1308712.82438657
4663,2197858.303966945
354,1616621.6446359023
2223,2178362.3080557063
5690,1656464.3799583928
5777,1936719.3891876796
6212,1958037.0932874847
6746,2375984.243823068
268,798971.8049441186
5276,1544456.7176888161
808,1656368.0503970415
3438,1682927.29062295
245,890779.20973677
6293,2097438.387221114
3096,1686375.0695374715
1924,1898365.8394350347
2795,1449004.4164212889
5073,2376507.8678571014
4141,1976945.7503838034
914,2581880.8364524813
3518,1298719.9523477845
3965,1216611.1176439237
1262,1783094.241279574
6200,2742233.440836831
1254,2161561.523069504
976,1213178.3272902165
6175,1189816.0943801673
2852,1432838.954929279
457,2605916.901526006
809,1581078.7084013792
6127,1217287.075243214
559,599731.7378697385
3787,2083023.535965141
6900,2254066.6239745296
4326,2896544.135633233
1010,625217.6894865866
349,1388227.24998847
5506,2008503.277071172
1085,513999.1881333097
2085,1530605.4713904199
5448,1318310.7462207337
376,2162488.649998615
2250,2095046.2299503188
2523,4243393.979792665
343,1202487.7894711457
2527,690897.2823691862
4932,1957634.8044237709
4963,3353363.531564988
2846,1758431.873889575
878,1068412.4789999924
905,935660.0024864395
5662,2880674.4137299373
1570,4461102.40754944
7012,1824615.3480997202
5921,1219698.4836910248
4035,1857125.5675198655
4494,886851.4091309673
4265,1146942.2317797297
1468,3798678.919720622
5575,1118156.5967899293
3974,2057389.8460878322
5604,1897048.6878263655
1192,779718.5319862969
3633,1516033.515477236
253,809940.2104738676
644,481065.96625864226
2437,1831846.1975582556
80,1326329.8461411656
6176,1166392.0716952572
1779,1068428.61114764
1316,1044418.1983986881
6328,2008955.8894485824
2919,1766996.6818510771
2182,767370.9793697947
2323,2574949.4706471204
6382,1864197.6889791908
1151,3723123.734488138
3401,1350798.9481123697
